 written on 15Apr2025 at 13:40:09 
  -2.7218511831824337        0.0000000000000000        2.7218511831824337     
   0.0000000000000000        2.7218511831824337        2.7218511831824337     
  -2.7218511831824337        2.7218511831824337        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    1    6    0.14768277E-01 -0.30818090E-09
    2    6   -0.26990238E-01  0.10214208E-09
    3    6    0.14758686E-01 -0.17613063E-09
    4    6   -0.11824773E-01  0.41335861E-09
    5    6   -0.35508433E-03 -0.37640613E-10
    6    6   -0.10485374E-01  0.38796050E-11
    7    6   -0.52398207E-03 -0.49050061E-10
    8    6    0.35856102E-02 -0.24360241E-09
    1    7    0.14726486E-01 -0.17761783E-09
    2    7    0.14723149E-01  0.21408605E-09
    3    7   -0.26987800E-01  0.88022315E-11
    4    7   -0.11829838E-01  0.55866301E-10
    5    7   -0.11719597E-01  0.18691700E-09
    6    7    0.91849152E-02  0.68124060E-09
    7    7    0.13509032E-01  0.32515816E-10
    8    7    0.91190497E-02  0.75783448E-10
    1    8   -0.11980954E-01 -0.26844422E-09
    2    8   -0.11942368E-01 -0.31545497E-09
    3    8   -0.11903782E-01 -0.31351449E-09
    4    8    0.27799586E-01  0.19817374E-09
    5    8   -0.41857189E-03  0.66966104E-10
    6    8    0.35365233E-02  0.10177939E-09
    7    8   -0.42065784E-03  0.13293902E-09
    8    8   -0.10439164E-01  0.11630139E-09

   -4    1    2
    1    1    0.83431783E-02 -0.30474172E-10
    2    1   -0.16752445E-01 -0.12058395E-09
    3    1    0.93555827E-02  0.28313536E-09
    4    1    0.93433064E-02  0.23362297E-09
    5    1    0.54440345E-02  0.34641135E-09
    6    1   -0.96308962E-02 -0.72372244E-09
    7    1   -0.95996932E-02 -0.94716041E-10
    8    1   -0.95684904E-02 -0.14703731E-09
    1    2   -0.16754073E-01  0.50149666E-10
    2    2    0.83292349E-02  0.10834915E-09
    3    2    0.93738981E-02 -0.25957866E-09
    4    2    0.93616218E-02 -0.31253360E-09
    5    2    0.17218061E-02  0.94557672E-10
    6    2    0.23443268E-02 -0.21485630E-09
    7    2   -0.34898701E-02 -0.40074308E-09
    8    2   -0.34978957E-02  0.20406466E-09
    1    3   -0.11809821E-02  0.27539502E-10
    2    3   -0.11984359E-02 -0.64332373E-10
    3    3   -0.63561923E-02  0.74352906E-10
    4    3    0.92417702E-02 -0.30020933E-09
    5    3    0.17585620E-02  0.82082677E-10
    6    3   -0.34780617E-02  0.16210318E-09
    7    3    0.23192377E-02  0.43591379E-09
    8    3   -0.34997588E-02  0.29812993E-09
    1    4   -0.11844161E-02  0.91718620E-10
    2    4   -0.12018698E-02 -0.35935321E-10
    3    4    0.92106814E-02  0.39250586E-09
    4    4   -0.63543658E-02 -0.44604199E-10
    5    4    0.17953180E-02  0.19469273E-09
    6    4   -0.34799248E-02 -0.18800381E-09
    7    4   -0.34879504E-02 -0.64088163E-09
    8    4    0.22941485E-02  0.35063410E-10
    1    5   -0.72786640E-02 -0.11564471E-09
    2    5    0.40077662E-02 -0.17821675E-10
    3    5   -0.95727299E-03 -0.96708071E-10
    4    5   -0.98276006E-03 -0.72119499E-10
    5    5    0.13497696E-01  0.51798177E-10
    6    5   -0.11774357E-01 -0.33010027E-09
    7    5    0.91276407E-02 -0.23152973E-09
    8    5    0.91389076E-02 -0.13506891E-09
    1    6   -0.19340154E-02 -0.78634313E-10
    2    6    0.30621699E-02 -0.66202108E-10
    3    6   -0.98290317E-02  0.27988146E-09
    4    6   -0.98131870E-02  0.48379253E-09
    5    6   -0.11735742E-01  0.30752320E-09
    6    6    0.13496721E-01 -0.24575227E-10
    7    6    0.91330824E-02 -0.48417693E-09
    8    6    0.91443495E-02 -0.31305756E-09
    1    7    0.89474503E-02 -0.56632468E-11
    2    7    0.67899541E-02 -0.97278205E-11
    3    7    0.10894891E-01 -0.41087275E-10
    4    7   -0.12693452E-01  0.59296620E-09
    5    7   -0.40094297E-03  0.18552138E-10
    6    7   -0.39134536E-03 -0.11186189E-09
    7    7   -0.10469854E-01 -0.80000111E-10
    8    7    0.35677497E-02 -0.42205845E-09
    1    8    0.89737535E-02  0.22211816E-09
    2    8    0.68573435E-02  0.24758162E-09
    3    8   -0.12647801E-01 -0.30547146E-09
    4    8    0.10857797E-01  0.31308188E-10
    5    8   -0.41589873E-03  0.85918259E-10
    6    8   -0.40630091E-03 -0.15125180E-09
    7    8    0.35691750E-02  0.33666788E-09
    8    8   -0.10453327E-01  0.32830787E-10

   -4    2    0
    1    1   -0.29221272E-02  0.86455454E-10
    2    1    0.26217095E-02 -0.94247846E-10
    3    1   -0.69679638E-02  0.77593132E-11
    4    1    0.27514195E-02 -0.26052914E-09
    5    1   -0.72688535E-03 -0.13574014E-09
    6    1    0.33356144E-03 -0.27896804E-09
    7    1    0.53895037E-02  0.65529961E-10
    8    1    0.65818620E-02  0.74100012E-09
    1    2    0.27058489E-02  0.13387479E-09
    2    2   -0.29148024E-02 -0.35721912E-10
    3    2   -0.71191391E-02  0.41250876E-10
    4    2    0.25851980E-02 -0.14631919E-09
    5    2   -0.98054034E-02  0.18333986E-09
    6    2    0.60881616E-02 -0.60078921E-11
    7    2    0.44329220E-02  0.36862362E-09
    8    2   -0.96459000E-02  0.43287039E-09
    1    3    0.41637951E-02  0.59580723E-10
    2    3    0.43159429E-02  0.77395382E-10
    3    3    0.24778912E-02  0.70726244E-10
    4    3    0.44843687E-02 -0.12243928E-09
    5    3   -0.84085731E-02  0.66463193E-10
    6    3   -0.86699387E-03  0.10740498E-09
    7    3    0.83528920E-03 -0.65416532E-09
    8    3   -0.84125116E-02  0.59364427E-10
    1    4    0.25706107E-02  0.25670519E-09
    2    4    0.27126650E-02  0.84694664E-10
    3    4   -0.73464548E-02 -0.25481636E-09
    4    4   -0.28885392E-02 -0.25441302E-10
    5    4    0.67366475E-02 -0.57496697E-09
    6    4    0.65410211E-03  0.10434697E-09
    7    4    0.55281373E-02  0.16432346E-08
    8    4   -0.10365144E-02 -0.31688209E-10
    1    5    0.10800235E-01  0.70481121E-10
    2    5    0.92399815E-02  0.22895504E-09
    3    5    0.65766688E-02  0.13585870E-09
    4    5   -0.12759152E-01  0.32465943E-09
    5    5   -0.33861794E-02  0.56472781E-10
    6    5    0.18901005E-02 -0.78209411E-10
    7    5   -0.62997728E-02 -0.23456915E-09
    8    5    0.18599634E-02 -0.12393954E-09
    1    6   -0.71609424E-03  0.32130452E-09
    2    6   -0.74976744E-02 -0.10275587E-09
